"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ecuador,,218,Country/Area,931,3470.16,3561.08,3654.72,3751.6,3852.13,3956.63,4065.33,4178.34,4295.75,4417.54,4543.66,4674.18,4809.19,4948.99,5093.85,5243.98,5399.42,5560.01,5725.46,5895.37,6069.38,6247.42,6429.38,6614.84,6803.27,6994.33,7187.79,7383.71,7582.36,7784.07,7989.18,8197.65,8409.4,8624.59,8843.46,9066.1,9292.48,9522.36,9755.58,9991.87,10230.93,10472.48,10716.13,10961.46,11208,11455.21,11703.17,11951.46,12198.45,12442.11,12681.12,12914.66,13143.47,13369.68,13596.39,13825.84,14059.38,14296.55,14535.74,14774.41,15011.11,15243.89,15474.1,15707.47,15951.83,16212.02,16491.12,16785.36,17084.36,17373.66,17643.06
Falkland Islands (Malvinas),17,238,Country/Area,931,2.25,2.25,2.23,2.22,2.21,2.2,2.19,2.18,2.17,2.16,2.14,2.13,2.12,2.1,2.09,2.07,2.06,2.04,2.03,2,1.99,1.96,1.94,1.93,1.91,1.91,1.9,1.88,1.87,1.86,1.85,1.85,1.85,1.84,1.83,1.84,1.85,1.87,1.89,1.93,1.98,2.06,2.17,2.27,2.38,2.5,2.59,2.69,2.77,2.83,2.89,2.93,2.94,2.95,2.95,2.95,2.94,2.93,2.93,2.92,2.9,2.86,2.82,2.79,2.79,2.84,2.93,3.07,3.24,3.37,3.48
French Guiana,2,254,Country/Area,931,25.48,26.24,26.9,27.47,27.98,28.49,29.03,29.62,30.31,31.09,32.03,33.12,34.38,35.77,37.28,38.89,40.62,42.43,44.31,46.15,47.93,49.62,51.27,52.88,54.52,56.22,58,59.87,61.94,64.28,66.97,70.02,73.41,77.23,81.57,86.44,91.95,97.97,104.22,110.26,115.78,120.69,125.08,129.15,133.19,137.4,141.79,146.33,151.25,156.81,163.16,170.44,178.55,187.03,195.31,202.97,209.89,216.18,222,227.54,233,238.38,243.67,249.05,254.78,261.01,267.82,275.19,282.94,290.82,298.68
Guyana,,328,Country/Area,931,406.56,418.68,432.82,448.46,465.17,482.56,500.32,518.25,536.22,554.09,571.81,589.27,606.29,622.58,637.84,651.87,664.52,675.86,686.14,695.74,704.93,713.68,721.95,729.91,737.85,745.85,754.1,762.42,770.13,776.26,780.15,781.73,781.25,778.95,775.22,770.44,764.45,757.45,750.64,745.58,743.31,744.48,748.6,754.14,758.9,761.3,760.8,757.98,753.78,749.68,746.72,745.21,744.79,745.14,745.74,746.16,746.34,746.48,746.82,747.72,749.43,752.03,755.39,759.28,763.37,767.43,771.36,775.22,779.01,782.78,786.56
Paraguay,,600,Country/Area,931,1473.24,1511.85,1550.98,1590.87,1631.71,1673.67,1716.88,1761.45,1807.46,1854.97,1903.99,1954.55,2006.68,2060.34,2115.57,2172.31,2230.73,2290.8,2351.93,2413.4,2474.76,2535.88,2597.15,2659.42,2723.82,2791.24,2861.87,2935.71,3013.28,3095.15,3181.63,3272.92,3368.76,3468.53,3571.28,3676.21,3783.07,3891.73,4001.68,4112.4,4223.41,4334.35,4445.02,4555.52,4666.1,4776.84,4887.64,4998.1,5107.84,5216.35,5323.2,5428.44,5531.96,5632.98,5730.56,5824.1,5913.21,5998.43,6081.3,6163.97,6248.02,6333.98,6421.51,6510.27,6599.52,6688.75,6777.88,6867.06,6956.07,7044.64,7132.53
Peru,,604,Country/Area,931,7777.45,7976.48,8184.73,8401.37,8625.98,8858.39,9098.83,9347.83,9606.24,9875.02,10155.01,10446.62,10749.46,11062.3,11383.36,11711.4,12045.78,12386.87,12735.49,13092.85,13459.79,13836.37,14221.95,14615.85,15017.06,15424.75,15838.57,16258.32,16683.45,17113.39,17547.61,17985.4,18426.42,18870.99,19319.75,19772.87,20230.39,20691.29,21153.46,21614.19,22071.43,22522.38,22966.82,23408.14,23851.41,24299.17,24753.83,25210.96,25658.07,26078.3,26459.94,26799.29,27100.96,27372.22,27624.23,27866.14,28102.06,28333.05,28562.32,28792.66,29027.68,29264.31,29506.79,29773.99,30090.37,30470.74,30926.04,31444.3,31989.27,32510.46,32971.85
Suriname,,740,Country/Area,931,215,222.45,229.21,235.69,242.21,249,256.18,263.76,271.67,279.76,287.87,295.91,303.89,311.95,320.27,328.94,338.16,347.67,356.55,363.57,367.93,369.23,367.91,364.91,361.67,359.23,357.95,357.65,358.1,358.83,359.53,360.14,360.93,362.28,364.72,368.64,374.13,381.03,388.88,397.08,405.17,413.01,420.66,428.03,435.1,441.85,448.21,454.17,459.84,465.38,470.94,476.57,482.23,487.94,493.68,499.46,505.29,511.18,517.12,523.11,529.13,535.18,541.25,547.3,553.28,559.14,564.88,570.5,575.99,581.36,586.63
Uruguay,,858,Country/Area,931,2238.5,2261.34,2286.26,2313.21,2342.04,2372.56,2404.49,2437.5,2471.14,2505.01,2538.65,2571.68,2603.88,2635.13,2665.38,2694.54,2722.87,2750.09,2774.76,2795.04,2809.8,2818.28,2821.46,2822.11,2824.1,2830.17,2841.37,2856.96,2875.72,2895.68,2915.39,2934.62,2953.85,2973.05,2992.25,3011.52,3030.65,3049.58,3068.71,3088.6,3109.6,3131.66,3154.46,3177.73,3201.15,3224.28,3247.38,3270.16,3291.05,3308.01,3319.73,3325.47,3326.05,3323.66,3321.49,3321.8,3325.4,3331.75,3340.22,3349.68,3359.27,3368.93,3378.98,3389.44,3400.44,3412.01,3424.14,3436.65,3449.29,3461.73,3473.73
Venezuela (Bolivarian Republic of),,862,Country/Area,931,5481.98,5726.61,5974.44,6226.29,6482.86,6744.7,7012.18,7285.57,7564.99,7850.42,8141.84,8439.26,8742.78,9052.63,9369.1,9692.28,10022.59,10359.74,10702.28,11048.26,11396.4,11745.95,12097.7,12453.71,12816.95,13189.51,13572.21,13964.38,14364.73,14771.27,15182.62,15597.88,16017.57,16443.13,16876.7,17319.51,17772,18232.73,18698.85,19166.47,19632.67,20096.31,20557.69,21016.9,21474.55,21931.09,22385.65,22837.74,23288.57,23739.84,24192.45,24646.47,25100.41,25551.62,25996.59,26432.45,26850.19,27247.6,27635.83,28031.01,28439.94,28887.87,29360.83,29781.05,30042.97,30081.83,29851.25,29402.48,28887.12,28515.83,28435.94
AUSTRALIA/NEW ZEALAND,,927,SDG region,1828,10085.36,10346.15,10587.87,10822.41,11058.61,11302.09,11555.24,11817.29,12084.73,12352.2,12614.67,12869.9,13120.61,13375.37,13645.96,13939.84,14260.49,14602.32,14952.53,15293.29,15611.42,15903.95,16173.85,16421.2,16647.75,16855.91,17044.3,17214.95,17378.36,17548.3,17735.01,17942.06,18167.74,18410.38,18666.19,18931.91,19207.88,19493.91,19785.05,20074.95,20358.78,20635.41,20905.37,21167.68,21421.8,21668.02,21906.63,22139.56,22371,22606.32,22850.43,23102.62,23364.57,23646.24,23960.08,24313.9,24712.18,25149.39,25610.45,26074.19,26524.75,26956.68,27372.41,27773.43,28163.95,28547.03,28921.98,29286.65,29641.28,29986.26,30322.11
Australia,18,36,Country/Area,927,8177.35,8398.22,8595.06,8782.18,8970.12,9165.7,9371.78,9587.46,9808.6,10028.8,10242.07,10445.84,10643.42,10845.18,11065.42,11313.19,11593.4,11899.64,12215.7,12518.93,12793.03,13033.13,13244.16,13431.79,13605.57,13773.29,13935.72,14092.55,14249.4,14413,14588.4,14777.24,14979.2,15194.64,15423.16,15663.67,15917.58,16183.16,16452.26,16713.99,16960.6,17189.24,17402.18,17603.21,17798.53,17993.08,18189.27,18387.21,18587.03,18788.19,18991.43,19194.68,19401.37,19624.16,19879.65,20178.54,20526.3,20916.34,21332.29,21750.85,22154.69,22538,22903.95,23254.91,23596.43,23932.5,24262.71,24584.62,24898.15,25203.2,25499.88
New Zealand,19,554,Country/Area,927,1908.01,1947.93,1992.81,2040.24,2088.49,2136.39,2183.46,2229.83,2276.13,2323.4,2372.6,2424.06,2477.19,2530.19,2580.54,2626.65,2667.09,2702.68,2736.82,2774.36,2818.39,2870.82,2929.69,2989.41,3042.18,3082.62,3108.57,3122.41,3128.96,3135.3,3146.61,3164.82,3188.54,3215.73,3243.03,3268.23,3290.3,3310.75,3332.79,3360.96,3398.18,3446.17,3503.19,3564.47,3623.27,3674.94,3717.35,3752.36,3783.98,3818.13,3858.99,3907.94,3963.2,4022.07,4080.42,4135.35,4185.88,4233.05,4278.16,4323.34,4370.06,4418.67,4468.46,4518.52,4567.52,4614.53,4659.27,4702.03,4743.13,4783.06,4822.23
OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),,1835,SDG region,1828,2890.54,2919.57,2954.71,2995.2,3040.59,3090.6,3145,3203.7,3266.79,3334.52,3406.96,3484.1,3565.54,3650.68,3738.67,3828.86,3921.01,4015.14,4111.35,4209.85,4310.8,4414.25,4520.25,4628.88,4740.22,4854.36,4971.07,5090.45,5213.66,5342.21,5477.07,5618.92,5766.89,5918.47,6070.03,6219.14,6364.78,6507.81,6649.84,6793.28,6939.92,7089.84,7242.58,7398.52,7558.19,7721.61,7889.85,8062.31,8236.34,8407.91,8574.66,8734.94,8890.33,9045.17,9205.69,9376.32,9558.89,9751.54,9950.71,10150.95,10348.32,10541.65,10732.32,10922.31,11114.68,11311.67,11513.66,11719.83,11929.54,12141.79,12355.7
Melanesia,,928,Subregion,1835,2493.45,2512.43,2537.8,2568.91,2605.12,2646.01,2691.11,2740.14,2792.88,2849.19,2908.93,2971.96,3038.07,3106.93,3178.21,3251.67,3327.16,3404.69,3484.73,3567.89,3654.63,3745.14,3839.32,3936.83,4037.19,4140.1,4245.16,4352.49,4462.97,4577.83,4697.81,4823.5,4954.15,5087.39,5219.93,5349.55,5475.31,5598.17,5720.19,5844.45,5973.2,6106.78,6244.63,6386.74,6533.04,6683.22,6838.12,6997.47,7158.67,7318.1,7473.49,7623.21,7768.72,7914.68,8067.66,8232.15,8410.15,8599.62,8796.32,8993.92,9187.93,9376.89,9562.3,9746.2,9931.88,10121.73,10316.13,10514.19,10715.33,10918.53,11122.99
Fiji,,242,Country/Area,928,288.99,296.25,304.88,314.45,324.58,335.1,345.87,356.94,368.43,380.56,393.48,407.24,421.67,436.3,450.54,463.96,476.4,487.97,498.94,509.71,520.56,531.62,542.84,554.14,565.42,576.63,587.56,598.3,609.38,621.58,635.31,651.03,668.28,685.5,700.48,711.77,718.64,721.78,722.92,724.6,728.58,735.4,744.47,754.96,765.61,775.43,784.39,792.74,800.15,806.3,811.01,813.92,815.26,816.08,817.86,821.61,827.87,836.19,845.36,853.64,859.82,863.45,865.07,865.6,866.45,868.63,872.41,877.46,883.49,889.96,896.44
New Caledonia,2,540,Country/Area,928,64.82,64.26,64.41,65.13,66.27,67.74,69.47,71.37,73.44,75.67,78.06,80.58,83.21,85.9,88.57,91.19,93.69,96.07,98.61,101.63,105.32,109.82,114.98,120.43,125.65,130.27,134.17,137.46,140.26,142.77,145.14,147.4,149.54,151.63,153.75,155.99,158.35,160.87,163.66,166.78,170.34,174.34,178.76,183.48,188.37,193.3,198.24,203.19,208.07,212.78,217.26,221.5,225.48,229.25,232.88,236.44,239.92,243.33,246.7,250.08,253.53,257.07,260.66,264.24,267.73,271.06,274.19,277.16,279.99,282.76,285.49
Papua New Guinea,,598,Country/Area,928,2002.15,2011.22,2024.16,2041.02,2061.76,2086.25,2114.28,2145.6,2179.87,2216.72,2255.86,2297.05,2340.35,2385.94,2434.22,2485.43,2539.68,2596.82,2656.64,2718.81,2783.13,2849.52,2918.14,2989.2,3063.05,3139.94,3219.83,3302.64,3388.63,3478.09,3571.21,3668.1,3768.49,3871.49,3975.95,4081.02,4186.5,4292.58,4399.32,4507,4615.84,4725.54,4836.22,4949.05,5065.66,5187.06,5314.26,5446.63,5581.77,5716.17,5847.59,5974.63,6098.62,6223.38,6354.25,6494.9,6646.89,6808.5,6976.2,7144.77,7310.51,7472.2,7631,7788.39,7946.73,8107.77,8271.77,8438.04,8606.32,8776.12,8947.03
Solomon Islands,,90,Country/Area,928,89.79,91.79,94.06,96.54,99.19,102,104.94,107.99,111.16,114.44,117.85,121.39,125.04,128.84,132.77,136.82,141,145.32,149.89,154.83,160.24,166.16,172.55,179.31,186.3,193.4,200.6,207.89,215.3,222.84,230.55,238.42,246.45,254.57,262.69,270.79,278.83,286.87,294.98,303.27,311.87,320.78,330,339.5,349.27,359.28,369.52,380,390.7,401.59,412.67,423.95,435.43,447.02,458.55,469.92,481.09,492.13,503.37,515.18,527.86,541.52,556.07,571.33,587.08,603.13,619.44,636.03,652.86,669.82,686.88
Vanuatu,,548,Country/Area,928,47.7,48.92,50.29,51.77,53.31,54.92,56.56,58.24,59.98,61.79,63.69,65.7,67.79,69.94,72.12,74.27,76.39,78.51,80.65,82.92,85.37,88.01,90.8,93.75,96.77,99.86,103,106.21,109.4,112.54,115.6,118.55,121.4,124.21,127.06,129.99,132.99,136.08,139.32,142.8,146.58,150.72,155.18,159.74,164.13,168.16,171.72,174.92,177.99,181.26,184.96,189.21,193.93,198.96,204.12,209.28,214.38,219.46,224.7,230.24,236.22,242.66,249.51,256.64,263.89,271.13,278.33,285.5,292.68,299.88,307.15
Micronesia,,954,Subregion,1835,155.57,158.54,161.56,164.62,167.81,171.1,174.6,178.34,182.32,186.63,191.24,196.21,201.52,207.03,212.79,218.65,224.65,230.78,236.86,242.71,248.18,253.25,257.99,262.6,267.26,272.16,277.35,282.89,288.92,295.74,303.5,312.21,321.83,332.28,343.47,355.29,367.74,380.68,393.59,405.78,416.76,426.3,434.45,441.59,448.31,454.92,461.59,468.13,474.37,479.97,484.78,488.75,492.03,494.69,496.7,498.3,499.39,500.09,500.72,501.82,503.58,506.23,509.64,513.75,518.24,522.93,527.79,532.89,538.14,543.48,548.93
Guam,16,316,Country/Area,954,59.65,60.26,60.87,61.47,62.06,62.65,63.26,63.93,64.7,65.62,66.73,68.07,69.61,71.29,73.05,74.83,76.61,78.41,80.21,82.04,83.88,85.73,87.58,89.46,91.38,93.35,95.38,97.48,99.63,101.84,104.13,106.48,108.9,111.4,113.95,116.58,119.23,121.92,124.67,127.53,130.48,133.55,136.69,139.81,142.81,145.56,148.06,150.3,152.27,153.96,155.32,156.4,157.17,157.72,158.09,158.41,158.65,158.85,159.04,159.23,159.44,159.69,159.99,160.42,161.01,161.85,162.95,164.28,165.77,167.3,168.78
Kiribati,,296,Country/Area,954,33.05,33.62,34.27,34.98,35.75,36.57,37.43,38.32,39.24,40.21,41.2,42.23,43.28,44.34,45.39,46.43,47.43,48.4,49.35,50.27,51.14,51.98,52.78,53.56,54.33,55.11,55.92,56.76,57.61,58.47,59.3,60.1,60.89,61.74,62.75,63.99,65.5,67.24,69.09,70.85,72.39,73.69,74.77,75.71,76.67,77.72,78.9,80.19,81.56,82.97,84.41,85.84,87.31,88.84,90.5,92.32,94.34,96.53,98.76,100.93,102.93,104.74,106.36,107.89,109.39,110.93,112.53,114.15,115.84,117.61,119.45
Marshall Islands,,584,Country/Area,954,13.01,13.23,13.44,13.63,13.79,13.9,14,14.09,14.21,14.39,14.67,15.06,15.55,16.11,16.71,17.28,17.83,18.38,18.97,19.62,20.39,21.31,22.34,23.44,24.53,25.58,26.55,27.48,28.4,29.42,30.57,31.88,33.33,34.88,36.56,38.33,40.21,42.17,44.09,45.83,47.27,48.4,49.24,49.83,50.21,50.45,50.52,50.45,50.36,50.42,50.75,51.41,52.37,53.47,54.48,55.26,55.77,56.05,56.17,56.26,56.36,56.52,56.71,56.93,57.18,57.44,57.72,58.05,58.41,58.79,59.19
Micronesia (Fed. States of),,583,Country/Area,954,32,33.4,34.59,35.68,36.76,37.88,39.07,40.35,41.7,43.1,44.51,45.94,47.37,48.86,50.48,52.22,54.19,56.31,58.39,60.15,61.42,62.09,62.28,62.27,62.46,63.12,64.36,66.08,68.2,70.52,72.94,75.42,78.02,80.63,83.19,85.64,87.9,89.99,91.98,94.06,96.3,98.78,101.39,103.9,106.03,107.54,108.31,108.47,108.21,107.77,107.41,107.17,107.03,106.9,106.62,106.14,105.37,104.44,103.55,102.97,102.92,103.45,104.51,105.92,107.44,108.89,110.22,111.46,112.64,113.81,115.02
Nauru,,520,Country/Area,954,3.43,3.47,3.56,3.66,3.74,3.82,3.89,3.96,4.05,4.19,4.38,4.63,4.94,5.27,5.59,5.86,6.07,6.22,6.34,6.45,6.55,6.67,6.8,6.93,7.06,7.18,7.28,7.4,7.51,7.63,7.75,7.87,8.02,8.16,8.33,8.5,8.68,8.87,9.06,9.28,9.51,9.77,10.03,10.29,10.5,10.63,10.68,10.64,10.57,10.45,10.34,10.22,10.1,9.99,9.91,9.85,9.83,9.85,9.88,9.95,10.01,10.07,10.14,10.21,10.29,10.37,10.47,10.58,10.68,10.76,10.83
Northern Mariana Islands,16,580,Country/Area,954,7,7.08,7.2,7.39,7.66,7.98,8.38,8.81,9.24,9.64,9.98,10.24,10.44,10.59,10.78,11.02,11.34,11.72,12.14,12.58,13,13.42,13.88,14.32,14.67,14.92,15.02,15.05,15.17,15.64,16.63,18.17,20.16,22.62,25.5,28.72,32.38,36.37,40.29,43.54,45.75,46.66,46.47,45.76,45.36,45.87,47.52,50.05,53,55.63,57.45,58.32,58.41,57.95,57.24,56.55,55.89,55.22,54.62,54.19,53.97,54.01,54.31,54.79,55.3,55.78,56.19,56.55,56.89,57.21,57.56
Palau,,585,Country/Area,954,7.43,7.49,7.63,7.82,8.05,8.32,8.59,8.9,9.19,9.48,9.77,10.05,10.33,10.57,10.79,11.01,11.18,11.33,11.46,11.62,11.8,12.05,12.34,12.63,12.82,12.9,12.84,12.65,12.41,12.23,12.18,12.28,12.52,12.84,13.19,13.53,13.84,14.12,14.4,14.7,15.06,15.44,15.86,16.29,16.74,17.16,17.6,18.02,18.41,18.77,19.1,19.39,19.64,19.81,19.86,19.78,19.55,19.16,18.71,18.29,17.95,17.75,17.64,17.6,17.63,17.67,17.72,17.81,17.91,18,18.09
Polynesia,20,957,Subregion,1835,241.51,248.6,255.35,261.67,267.66,273.48,279.28,285.22,291.6,298.71,306.79,315.92,325.96,336.72,347.68,358.54,369.21,379.67,389.76,399.25,407.99,415.86,422.94,429.45,435.78,442.1,448.56,455.07,461.77,468.64,475.76,483.21,490.9,498.8,506.63,514.29,521.72,528.96,536.06,543.04,549.96,556.76,563.51,570.19,576.84,583.46,590.13,596.72,603.3,609.84,616.39,622.98,629.58,635.8,641.33,645.87,649.36,651.84,653.67,655.22,656.81,658.53,660.38,662.36,664.57,667.01,669.74,672.76,676.07,679.77,683.78
American Samoa,16,16,Country/Area,957,18.94,19.29,19.55,19.7,19.76,19.75,19.71,19.67,19.69,19.83,20.13,20.61,21.25,22.03,22.85,23.68,24.47,25.24,25.98,26.7,27.36,27.98,28.56,29.1,29.6,30.05,30.46,30.83,31.26,31.84,32.65,33.7,34.97,36.41,37.95,39.52,41.11,42.74,44.35,45.89,47.35,48.68,49.9,51.03,52.1,53.16,54.21,55.23,56.18,57.05,57.82,58.5,59.08,59.5,59.68,59.56,59.11,58.37,57.49,56.68,56.08,55.76,55.67,55.72,55.79,55.81,55.74,55.62,55.46,55.31,55.2
Cook Islands,21,184,Country/Area,957,15.07,15.41,15.63,15.83,16.06,16.35,16.71,17.12,17.54,17.92,18.21,18.38,18.45,18.51,18.63,18.89,19.33,19.89,20.5,20.99,21.3,21.4,21.31,21.06,20.69,20.23,19.69,19.07,18.44,17.9,17.52,17.31,17.27,17.34,17.47,17.59,17.7,17.79,17.9,18.03,18.2,18.42,18.68,18.93,19.08,19.11,18.95,18.65,18.31,18.04,17.94,18.02,18.27,18.61,18.89,19.07,19.09,18.99,18.81,18.6,18.39,18.2,18.01,17.83,17.69,17.58,17.52,17.51,17.52,17.55,17.56
French Polynesia,2,258,Country/Area,957,60.27,62.07,63.85,65.59,67.24,68.85,70.44,72.06,73.83,75.8,78.08,80.71,83.65,86.85,90.13,93.44,96.72,99.99,103.33,106.81,110.49,114.39,118.44,122.64,126.92,131.23,135.56,139.89,144.27,148.73,153.3,157.95,162.68,167.46,172.25,177.02,181.81,186.59,191.26,195.73,199.91,203.72,207.24,210.64,214.2,218.06,222.32,226.85,231.56,236.22,240.68,244.93,248.98,252.71,256,258.78,261.01,262.72,264.06,265.26,266.45,267.7,269,270.33,271.71,273.12,274.58,276.11,277.67,279.29,280.9
Niue,21,570,Country/Area,957,4.67,4.68,4.69,4.68,4.68,4.69,4.7,4.72,4.75,4.78,4.83,4.88,4.93,4.99,5.04,5.1,5.15,5.21,5.24,5.22,5.13,4.96,4.72,4.45,4.19,3.97,3.8,3.68,3.6,3.5,3.4,3.27,3.12,2.97,2.84,2.71,2.61,2.52,2.45,2.38,2.33,2.29,2.26,2.23,2.2,2.16,2.12,2.07,2.01,1.95,1.9,1.84,1.8,1.75,1.71,1.69,1.67,1.65,1.63,1.62,1.62,1.62,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.62
Samoa,,882,Country/Area,957,82.11,84.42,86.81,89.21,91.67,94.19,96.78,99.48,102.33,105.37,108.63,112.11,115.77,119.55,123.35,127.06,130.67,134.18,137.48,140.5,143.15,145.41,147.3,148.86,150.19,151.35,152.36,153.22,153.99,154.74,155.52,156.41,157.37,158.35,159.24,160,160.55,160.96,161.37,161.94,162.8,164,165.49,167.12,168.69,170.05,171.17,172.07,172.84,173.61,174.45,175.39,176.41,177.48,178.6,179.72,180.87,182.05,183.27,184.55,185.94,187.47,189.09,190.71,192.22,193.51,194.54,195.36,196.13,197.09,198.41
Tokelau,21,772,Country/Area,957,1.57,1.51,1.5,1.52,1.55,1.6,1.67,1.72,1.78,1.82,1.87,1.92,1.94,1.95,1.95,1.93,1.88,1.82,1.74,1.67,1.62,1.59,1.58,1.57,1.57,1.57,1.56,1.55,1.54,1.54,1.54,1.58,1.61,1.66,1.69,1.71,1.71,1.69,1.66,1.63,1.6,1.58,1.56,1.54,1.52,1.51,1.52,1.55,1.57,1.57,1.55,1.51,1.44,1.35,1.27,1.21,1.17,1.14,1.13,1.13,1.13,1.14,1.16,1.19,1.22,1.25,1.28,1.3,1.32,1.33,1.35
Tonga,,776,Country/Area,957,47.22,49.31,51.18,52.79,54.15,55.32,56.37,57.37,58.49,59.85,61.57,63.72,66.23,68.98,71.74,74.35,76.77,79.03,81.08,82.86,84.34,85.49,86.33,86.96,87.58,88.32,89.23,90.26,91.34,92.27,92.97,93.42,93.64,93.74,93.79,93.9,94.08,94.32,94.59,94.85,95.07,95.24,95.4,95.56,95.74,95.97,96.27,96.62,97.04,97.48,97.96,98.48,99.02,99.59,100.21,100.91,101.71,102.58,103.38,103.9,103.98,103.56,102.74,101.77,101.02,100.78,101.14,102,103.2,104.5,105.7
Tuvalu,,798,Country/Area,957,4.68,4.78,4.87,4.94,5.01,5.07,5.14,5.19,5.24,5.29,5.32,5.33,5.34,5.34,5.35,5.39,5.44,5.51,5.6,5.67,5.74,5.77,5.79,5.82,5.9,6.06,6.32,6.65,7.02,7.36,7.63,7.83,7.95,8.04,8.11,8.21,8.34,8.48,8.64,8.79,8.91,9.01,9.11,9.19,9.26,9.3,9.32,9.33,9.33,9.34,9.39,9.48,9.59,9.72,9.87,10,10.12,10.22,10.32,10.41,10.52,10.63,10.74,10.85,10.97,11.1,11.23,11.37,11.51,11.66,11.79
Wallis and Futuna Islands,2,876,Country/Area,957,6.99,7.13,7.27,7.42,7.55,7.67,7.78,7.87,7.96,8.06,8.15,8.28,8.4,8.53,8.63,8.71,8.77,8.81,8.82,8.84,8.86,8.89,8.92,9,9.13,9.32,9.59,9.92,10.31,10.75,11.23,11.75,12.3,12.84,13.29,13.63,13.81,13.87,13.85,13.81,13.79,13.82,13.87,13.96,14.06,14.15,14.26,14.35,14.46,14.58,14.7,14.84,14.99,15.1,15.1,14.94,14.61,14.13,13.58,13.07,12.69,12.46,12.37,12.35,12.34,12.26,12.1,11.89,11.65,11.44,11.25
EUROPE AND NORTHERN AMERICA,,1829,SDG region,1828,721931.47,729341.09,737472.86,746095.15,755021.27,764109.17,773264.12,782435.91,791613.53,800814.72,810056.13,819321.24,828532.35,837538.61,846150.04,854237.35,861728.35,868672.8,875216.74,881576.33,887911.23,894269.64,900613.08,906910.99,913103.08,919146.95,925050.38,930841.84,936523.62,942098.72,947573.65,952932.35,958184.02,963388.75,968626.93,973947.61,979380.64,984885.89,990357,995645.44,1000643.66,1005328.26,1009729.73,1013861.91,1017756.63,1021447.97,1024939.09,1028251.77,1031465.92,1034683.18,1037984.81,1041387.92,1044898.01,1048566.65,1052449.13,1056575.03,1060972.19,1065607.05,1070369.21,1075105.8,1079700.42,1084101.81,1088318.55,1092365.91,1096282.53,1100090.02,1103793.43,1107357,1110715.43,1113783.76,1116505.69
EUROPE,,917,SDG subregion,1829,549328.86,554324.51,559694.36,565281.96,570969.74,576678.76,582371.32,588048.22,593743.36,599513.23,605406.97,611434.04,617536.17,623575.13,629367.17,634783.19,639761.94,644345.49,648636.12,652789.65,656919.37,661056.1,665163.51,669207.97,673132.24,676895.46,680497.66,683959.54,687285.86,690485.02,693566.52,696513.45,699330.02,702070.43,704807.48,707584.19,710422.13,713279.28,716056.66,718617.28,720858.41,722775.86,724390.03,725656.79,726529.36,726994.43,727020.29,726669.42,726141.84,725705.44,725558.03,725771.94,726312.06,727134.24,728149.84,729287.88,730546.85,731938.56,733416.48,734923.39,736413,737850.65,739225.17,740541.88,741818.28,743058.98,744268.79,745414.76,746419.44,747182.82,747636.05
Eastern Europe,,923,Subregion,917,220170.51,223305.1,226633.47,230078.35,233574.77,237069.84,240523.41,243907.37,247204.74,250407.55,253510.72,256505.81,259375.32,262090.39,264617.42,266938.3,269037.7,270937.18,272702.01,274422.08,276164.93,277953.25,279777.51,281633.07,283504.04,285377.38,287255.32,289142,291026.67,292894.99,294734.2,296526.37,298263.72,299954.14,301612.05,303239.02,304840.53,306385.01,307792.67,308958.95,309808.64,310318.02,310506.14,310395.19,310025.83,309435.12,308637.29,307645.44,306498.22,305241.44,303918.41,302544.97,301147.73,299792.7,298558.1,297500.56,296646.52,295987.79,295500.1,295140.69,294872.87,294690.69,294589.61,294533.62,294479.08,294390.75,294252.02,294056.07,293790.26,293444.92,293013.21
Belarus,,112,Country/Area,923,7745,7698.81,7677.43,7679.69,7703.78,7747.22,7806.82,7878.77,7958.73,8042.11,8124.88,8204.34,8279.89,8353.29,8427.84,8505.72,8587.17,8670.57,8754.2,8835.74,8913.55,8987.03,9056.73,9123.45,9188.46,9252.78,9316.32,9378.92,9441.42,9504.86,9569.85,9636.15,9703.09,9770.13,9836.58,9901.49,9965.18,10026.47,10081.21,10124,10151.14,10160.79,10154.34,10135.13,10108.28,10077.61,10044.85,10009.39,9969.99,9924.44,9871.64,9811.4,9745.93,9679.24,9616.63,9562.08,9516.88,9480.51,9452.86,9433.16,9420.58,9415.32,9417.05,9423.5,9431.74,9439.42,9445.64,9450.23,9452.62,9452.41,9449.32
